Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
22480,8.62,9.76,0.00,0.00,0.00,0.00,13.6,102.0,251.00,0,1112,7.588,55.5,107.2,8
22641,7.65,8.80,0.00,0.00,0.00,0.00,13.6,102.0,265.15,0,1126,8.168,55.5,107.2,8
22841,6.35,7.50,0.00,0.00,0.00,0.00,13.4,102.0,254.30,0,1174,8.104,55.5,107.2,8
23041,4.97,6.11,0.00,0.00,0.00,0.00,13.6,102.0,260.57,0,1247,8.152,56.2,107.2,8
23241,3.48,4.63,0.00,0.00,0.00,0.00,13.5,102.0,256.55,0,1337,8.228,56.2,107.2,8
23441,1.90,3.05,0.00,0.00,0.00,0.00,13.4,102.0,249.53,0,1408,7.992,56.2,107.2,8
23602,0.58,1.73,0.00,0.00,0.00,0.00,13.5,102.0,251.21,0,1393,7.668,56.2,107.2,12
23802,1.19,2.34,0.00,0.00,0.00,0.00,13.6,102.0,266.44,0,1303,7.736,56.2,107.2,12
24002,2.65,3.79,0.00,0.00,0.00,0.00,13.5,102.0,292.53,0,1163,8.420,56.2,107.2,12
24202,4.06,5.20,0.00,0.00,0.00,0.00,13.6,102.0,267.78,0,1229,8.892,56.2,107.2,12
24401,5.61,6.76,0.00,0.00,0.00,0.00,13.5,102.0,265.74,0,1275,8.752,56.2,107.2,12
24560,6.65,7.55,0.00,0.00,0.00,0.00,13.6,102.0,253.22,0,1360,8.576,56.2,107.2,18
24722,6.65,7.55,0.00,0.00,0.00,0.00,13.5,102.0,254.00,0,1405,8.364,56.2,107.2,18
24921,6.65,7.55,0.00,0.00,0.00,0.00,13.5,102.0,255.21,0,1480,8.256,56.2,107.2,18
25121,6.65,7.55,0.00,0.00,0.00,0.00,13.6,102.0,247.69,0,1581,8.208,56.2,107.2,18
25322,6.65,5.35,0.00,0.00,0.00,0.00,13.5,102.0,250.40,0,1647,8.200,56.2,107.2,18
25521,3.00,3.42,0.00,0.00,0.00,0.00,13.5,102.0,248.73,0,1714,7.868,56.2,107.2,23
25682,4.00,4.62,0.00,0.00,0.00,0.00,13.5,101.2,245.66,0,1792,7.908,56.2,107.2,23
25881,6.06,6.68,0.00,0.00,0.00,0.00,13.6,101.2,234.19,0,1856,7.868,56.2,107.2,23
26042,7.51,8.34,0.00,0.00,0.00,0.00,13.5,101.2,205.14,0,1909,6.952,55.5,107.2,23
26242,7.51,8.34,0.00,0.00,0.00,0.00,13.5,101.2,194.06,0,1975,6.576,55.5,107.2,23
26441,7.51,8.34,0.00,0.00,0.00,0.00,13.5,101.2,184.61,0,2031,6.272,55.5,107.2,23
26641,7.51,8.34,0.00,0.00,0.00,0.00,13.5,101.2,177.91,0,2084,6.092,55.5,107.2,28
26801,7.51,8.34,0.00,0.00,0.00,0.00,13.5,101.2,140.49,0,2125,5.416,55.5,107.2,28
26961,4.59,5.24,0.00,0.00,0.00,0.00,13.5,101.2,125.36,0,2149,4.440,55.5,107.2,28
27122,3.35,4.00,0.00,0.00,0.00,0.00,13.5,101.2,46.68,0,2171,2.984,54.8,107.2,28
27321,2.11,2.77,0.00,0.00,0.00,0.00,13.3,101.2,52.17,0,2182,2.288,54.8,107.2,28
27481,1.21,1.86,0.00,0.00,0.00,0.00,13.2,101.2,51.45,0,2186,1.996,54.8,107.2,28
27640,0.33,0.98,0.00,0.00,0.00,0.00,13.4,101.2,51.66,0,2204,1.840,54.8,107.2,32
27801,-0.55,0.11,0.00,0.00,0.00,0.00,13.5,101.2,52.74,0,2185,1.748,54.8,107.2,32
27961,-1.43,-0.77,0.00,0.00,0.00,0.00,13.3,101.2,53.06,0,2172,1.600,54.8,107.2,32
28160,0.00,0.00,0.00,0.00,0.00,0.00,13.4,101.2,52.23,0,2153,1.580,54.8,107.2,32
28320,0.00,0.00,0.00,0.00,0.00,0.00,13.5,101.2,51.07,0,2148,1.560,54.8,107.2,32
28481,0.00,0.00,0.00,0.00,0.00,0.00,13.4,101.2,51.94,0,2139,1.548,54.8,107.2,32
28640,0.00,0.00,0.00,0.00,0.00,0.00,13.2,101.2,52.25,0,2099,1.540,54.8,107.2,32
28801,0.00,0.00,0.00,0.00,0.00,0.00,13.0,101.2,51.87,0,2088,1.520,54.8,107.2,32
28961,0.00,0.00,0.00,0.00,0.00,0.00,13.0,101.2,52.23,0,2073,1.516,54.8,107.2,32
29163,0.00,0.00,0.00,0.00,0.00,0.00,13.2,100.5,52.21,0,2048,1.508,54.8,107.2,32
29361,0.00,0.00,0.00,0.00,0.00,0.00,13.0,100.5,52.21,0,1994,1.504,54.8,107.2,32
29561,0.00,0.00,0.00,0.00,0.00,0.00,13.1,100.5,51.11,0,1929,1.476,54.8,107.2,30
29721,0.00,0.00,0.00,0.00,0.00,0.00,13.3,101.2,49.71,0,1871,1.436,54.8,107.2,30
29921,0.00,0.00,0.00,0.00,0.00,0.00,13.3,101.2,47.08,0,1799,1.396,54.8,107.2,30
30121,0.00,0.00,0.00,0.00,0.00,0.00,13.4,100.5,46.07,0,1718,1.336,54.8,107.2,30
30281,0.00,0.00,0.00,0.00,0.00,0.00,13.4,100.5,43.99,0,1673,1.316,54.8,107.2,30
30441,0.00,0.00,0.00,0.00,0.00,0.00,13.4,100.5,43.61,0,1592,1.328,54.8,107.2,30
30601,0.00,0.00,0.00,0.00,0.00,0.00,13.1,101.2,43.93,0,1549,1.312,54.8,107.2,26
30761,0.00,0.00,0.00,0.00,0.00,0.00,13.1,101.2,45.75,0,1487,1.136,54.8,107.2,26
30921,0.00,0.00,0.00,0.00,0.00,0.00,13.3,101.2,46.64,0,1459,1.188,54.8,107.2,26
31082,0.00,0.00,0.00,0.00,0.00,0.00,13.4,101.2,47.55,0,1431,1.288,54.8,107.2,26
31281,0.00,0.00,0.00,0.00,0.00,0.00,13.3,100.5,49.90,0,1391,1.320,54.8,107.2,26
31441,0.00,0.00,0.00,0.00,0.00,0.00,13.4,100.5,54.03,0,1362,1.344,54.8,107.2,26
31601,2.12,2.09,0.00,0.00,0.00,0.00,13.5,100.5,82.77,0,1342,2.020,54.8,107.2,23
31761,2.64,2.60,0.00,0.00,0.00,0.00,13.4,100.5,133.62,0,1351,3.092,54.8,107.2,23
31923,3.20,3.17,0.00,0.00,0.00,0.00,13.3,100.5,158.59,0,1366,3.888,54.8,107.2,23
32120,4.00,3.97,0.00,0.00,0.00,0.00,13.5,100.5,203.04,0,1320,5.168,54.8,107.2,23
32280,4.84,4.81,0.00,0.00,0.00,0.00,13.5,100.5,215.88,0,1325,5.904,54.8,107.2,23
32441,5.55,5.76,0.00,0.00,0.00,0.00,13.3,100.5,215.61,0,1301,6.352,54.8,107.2,23
